Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
SOLARIA,"17,8650","-4,05","18,6350","17,8200",307.307,"5.579,24",09/04/2021,10:32:24,2.326.585
TELEFONICA,"3,7885","-0,77","3,8400","3,7825",1.696.575,"6.460,92",09/04/2021,10:32:31,21.099.914
VISCOFAN,"60,1000","-0,08","60,2000","59,7000",12.507,"750,25",09/04/2021,10:32:23,2.796.975
ACCIONA,"139,8000","-0,71","141,2000","139,6000",9.544,"1.337,50",09/04/2021,10:49:36,7.723.817
ACERINOX,"11,3600","0,62","11,3900","11,2350",183.745,"2.080,41",09/04/2021,10:50:02,3.054.467
ACS,"27,7000","-0,47","27,9800","27,5800",54.639,"1.516,83",09/04/2021,10:45:54,8.645.796
AENA,"139,8500","-0,04","140,4000","139,3000",45.938,"6.422,45",09/04/2021,10:47:28,20.985.000
ALMIRALL,"12,5600","-0,40","12,6400","12,5000",61.217,"768,83",09/04/2021,10:50:04,2.246.038
AMADEUS,"60,0600","-0,69","60,4200","59,6200",57.982,"3.475,50",09/04/2021,10:48:53,27.246.192
ARCELORMIT.,"24,2650","-0,45","24,4550","24,1400",66.221,"1.605,80",09/04/2021,10:47:50,26.880.988
B.SANTANDER,"2,8985","-0,80","2,9410","2,8960",4.507.845,"13.156,66",09/04/2021,10:50:06,50.669.354
BA.SABADELL,"0,4560","-1,02","0,4644","0,4541",8.402.408,"3.841,87",09/04/2021,10:49:25,2.592.343
BANKINTER,"5,8500","-0,44","5,8960","5,8320",219.862,"1.288,36",09/04/2021,10:47:18,5.281.738
BBVA,"4,4595","-1,74","4,5620","4,4560",2.153.921,"9.675,22",09/04/2021,10:49:40,30.262.203
CAIXABANK,"2,5570","-0,85","2,5930","2,5560",1.205.341,"3.099,70",09/04/2021,10:49:57,20.788.409
CELLNEX,"42,2700","0,64","42,3200","41,7200",504.206,"21.163,72",09/04/2021,10:50:07,20.441.764
CIE AUTOMOT.,"21,9800","-1,79","22,3800","21,9000",49.418,"1.087,36",09/04/2021,10:48:30,2.742.669
ENAGAS,"18,5450","-0,59","18,6950","18,4900",142.765,"2.652,72",09/04/2021,10:50:06,4.887.425
ENDESA,"22,8000","-0,70","23,0000","22,7500",77.136,"1.763,93",09/04/2021,10:50:08,24.308.949
FERROVIAL,"22,3100","-0,40","22,4300","22,0700",73.819,"1.644,30",09/04/2021,10:49:49,16.417.013
FLUIDRA,"25,6500","2,19","25,6500","25,1000",136.790,"3.467,17",09/04/2021,10:50:09,4.910.290
GRIFOLS CL.A,"23,4200","0,13","23,5100","23,1700",98.163,"2.294,18",09/04/2021,10:49:54,9.967.176
IAG,"2,4920","0,36","2,4990","2,4560",2.228.917,"5.527,72",09/04/2021,10:47:33,12.344.175
IBERDROLA,"11,5250","-0,09","11,5900","11,4650",1.165.950,"13.442,90",09/04/2021,10:49:56,74.033.429
INDITEX,"27,7400","-0,61","27,7800","27,5700",285.174,"7.887,06",09/04/2021,10:50:01,86.985.757
INDRA A,"7,4850","0,47","7,5100","7,3950",336.378,"2.503,93",09/04/2021,10:49:21,1.316.075
INM.COLONIAL,"8,2250","-0,36","8,2650","8,1650",43.394,"357,07",09/04/2021,10:48:24,4.194.488
MAPFRE,"1,7790","-0,86","1,7990","1,7770",1.083.389,"1.932,31",09/04/2021,10:49:58,5.526.258
MELIA HOTELS,"6,5280","-0,34","6,5960","6,5000",159.826,"1.046,57",09/04/2021,10:47:53,1.443.620
MERLIN,"9,0300","-0,53","9,0720","8,9320",87.801,"791,47",09/04/2021,10:49:55,4.264.579
NATURGY,"20,8600","-0,76","21,0200","20,8100",33.166,"692,65",09/04/2021,10:49:21,20.381.282
PHARMA MAR,"95,7600","-1,48","97,7200","95,7000",22.869,"2.210,99",09/04/2021,10:48:54,1.784.097
R.E.C.,"15,1350","-0,75","15,2300","15,0800",168.956,"2.557,69",09/04/2021,10:47:14,8.251.470
REPSOL,"10,1740","-0,31","10,2540","10,1400",790.354,"8.061,93",09/04/2021,10:49:54,16.001.891
SIEMENS GAME,"31,0700","-1,02","31,4700","30,9100",156.661,"4.882,28",09/04/2021,10:49:25,21.381.091
SOLARIA,"17,9000","-3,87","18,6350","17,8200",332.481,"6.029,72",09/04/2021,10:50:09,2.326.585
TELEFONICA,"3,7945","-0,62","3,8400","3,7825",1.877.113,"7.146,01",09/04/2021,10:49:49,21.099.914
VISCOFAN,"59,9000","-0,42","60,2000","59,7000",14.864,"891,67",09/04/2021,10:48:50,2.796.975
